Outside Educator Name,Email,Institute,Designation,Location,Contact,Password,Rating
Md. Rajibul Islam,rajib@gmail.com,Dhaka College,Assistant Professor,Azimpur,1520103756,121323,0
Bilkis Jamal Ferdosi,bilkis@gmail.com,Dhaka City College,Professor,Badda,1520103757,324324,0
Aloke Kumar Saha,aloke@gmail.com,Admjee Cantoment College,Professor,Dhanmondi,1520103758,2354324,0
Shaila Rahman,shaila@gmail.com,B A F Shaheen College,Assistant Professor,Gulshan,1720103759,1232,0
Shammi Akhtar,shammi@gmail.com,Notre Dame College,Assistant Professor,Hazaribagh,1720103760,3534,0
Md. Akhtaruzzaman Adnan,adnan@gmail.com,Ideal College,Assistant Professor,Jatrabari,1720103761,456546,0
A S Zaforullah Momtaz,momtaz@gmail.com,Rajuk Uttara Model College,Assistant Professor,Kalabagan,1820103762,3434,0
Molla Rashied Hussein,molla@gmail.com,Noor Mohammad College,Assistant Professor,Khilgaon,1820103763,56865,0
Nadeem Ahmed,nadeem@gmail.com,Residential Model College,Assistant Professor,Mirpur,1820103764,56756,0
Nasima Begum,nasima@gmail.com,Viqarunnisa College,Assistant Professor,Mahammadpur,1620103765,3465675,0
Md. Imran Bin Azad,azad@gmail.com,Munshi Abdur Rouf College,Assistant Professor,Motijheel,1620103766,678677,0
Tanjina Helaly,helaly@gmail.com,B A F Shaheen College,Assistant Professor,New Market,1620103767,768678,0
Jahir Ibna Rafiq,rafiq@gmail.com,Ideal College,Assistant Professor,Shahbagh,1920103768,54654,0
A S M Touhidul Hasan,touhid@gmail.com,Dhaka College,Assistant Professor,Tejgaon,1920103769,678768,0
Tahira Alam,tahira@gmail.com,Admjee Cantoment College,Assistant Professor,Uttara,1920103770,678746554,0
Md. Abdul Hamid,hamid@gmail.com,Dhaka City College,Professor,Azimpur,1320103771,78324,0
Md. Rashedul Islam,rashedul@gmail.com,Notre Dame College,Associate Professor,Badda,1320103772,787324,0
Nahida Sultana Chowdhury,nahida@gmail.com,Rajuk Uttara Model College,Assistant Professor,Dhanmondi,1320103773,343534,0
Sanjay Saha,sanjay@gmail.com,Viqarunnisa College,Assistant Professor,Gulshan,1420103774,3242356,0
Ms. Anika Anwar,anwar@gmail.com,Noor Mohammad College,Assistant Professor,Hazaribagh,1420103775,5464332,0
Shahera Hossain,shahera@gmail.com,Residential Model College,Assistant Professor,Jatrabari,1420103776,346546,0
Hanif Bhuiyan,hanif@gmail.com,Munshi Abdur Rouf College,Assistant Professor,Kalabagan,1520103777,768543,0
